"Name","test_accuracy","State","Notes","User","Tags","Created","Runtime","Sweep","attn_heads","batch_size","data_path","dropout","emb_dim","epochs","ff_expansion","learning_rate","max_len","output_dir","random_seed","stack_depth","subset_size","use_wandb","vocab_size","wandb_entity","wandb_name","wandb_project","best_epoch","best_val_f1","epoch","setup_test","test_f1","test_precision","test_recall","train_f1","train_loss","val_accuracy","val_f1","val_loss"
"V9_attention_model","0.82655","finished","-","","","2025-05-17T20:32:19.000Z","13208","","16","64","/home/gihabe/7ess-Xin/Sentiment140.csv","0.1","128","15","2","0.0005","148","model_output/V9_attention","42","6","","true","35000","gihabe290-university-of-li-ge","V9_attention_model","7ess-Xin","13","0.8273543850091928","14","","0.8284965639986157","0.8193018480492813","0.8379","0.8593865818517743","0.32160638199411334","0.82288125","0.8246598565798184","0.4150643372297287"
"V8_balanced_model","0.8219125","finished","-","","","2025-05-17T20:32:19.000Z","9518","","6","64","/home/gihabe/7ess-Xin/Sentiment140.csv","0.1","192","15","3","0.0005","148","model_output/V8_balanced","42","5","","true","35000","gihabe290-university-of-li-ge","V8_balanced_model","7ess-Xin","11","0.8240344938350918","14","","0.8242759879619123","0.8134798909338786","0.8353625","0.8523566504106493","0.3336062706746161","0.821175","0.8185438863521055","0.4101099405288696"
"V7_extra_deep_model","0.82491875","finished","-","","","2025-05-17T20:32:19.000Z","17219","","4","64","/home/gihabe/7ess-Xin/Sentiment140.csv","0.1","128","15","2","0.0005","148","model_output/V7_extra_deep","42","8","","true","35000","gihabe290-university-of-li-ge","V7_extra_deep_model","7ess-Xin","11","0.8288142106836329","14","","0.8294977997163673","0.8083561692586925","0.851775","0.8555229387521438","0.3292724862087518","0.82519375","0.8264336645091627","0.4028580807328224"
"V6_optimized_model","0.8273125","finished","-","","","2025-05-14T00:29:12.000Z","13779","","4","64","/home/gihabe/7ess-Xin/Sentiment140.csv","0.1","128","15","2","0.0005","148","model_output/V6_optimized","42","6","","true","35000","gihabe290-university-of-li-ge","V6_optimized_model","7ess-Xin","11","0.8303012884407238","14","","0.8313228004200142","0.8124552527325665","0.8510875","0.8557165344920042","0.32835668701827525","0.82623125","0.8219662284605582","0.4031484876334667"
"V5_subset_model","0.7773","finished","-","","","2025-05-13T17:25:50.000Z","293","","4","64","/home/gihabe/7ess-Xin/Sentiment140.csv","0.1","128","10","2","0.0005","128","model_output/V5_subset","42","3","100000","true","20000","gihabe290-university-of-li-ge","V5_subset_model","7ess-Xin","8","0.7890716803760282","9","","0.7820726098444075","0.7656639202912435","0.7992","0.839141343741288","0.3601189645767212","0.7843","0.7849237212084954","0.4891375289031654"
"V4_tuned_model","0.8112","finished","-","","","2025-05-13T17:30:54.000Z","6120","","4","128","/home/gihabe/7ess-Xin/Sentiment140.csv","0.2","128","15","2","0.0001","128","model_output/V4_tuned","42","3","","true","30000","gihabe290-university-of-li-ge","V4_tuned_model","7ess-Xin","13","0.8159511812650811","14","","0.8164718462174051","0.7942928743675824","0.839925","0.8142607147872822","0.40060499165058133","0.8117125","0.8158512433066823","0.4213005431890487"
"V3_wider_model","0.81261875","finished","-","","","2025-05-13T17:22:50.000Z","6002","","8","32","/home/gihabe/7ess-Xin/Sentiment140.csv","0.1","256","10","4","0.0005","128","model_output/V3_wider","42","3","","true","30000","gihabe290-university-of-li-ge","V3_wider_model","7ess-Xin","9","0.8106378268981438","9","","0.8107080847302459","0.8190597690884736","0.802525","0.8218026108605995","0.389799898080714","0.81286875","0.8106378268981438","0.4235382652118802"
"V2_deeper_model","0.82551875","finished","-","","","2025-05-13T17:22:50.000Z","7855","","4","64","/home/gihabe/7ess-Xin/Sentiment140.csv","0.1","128","10","2","0.0005","128","model_output/V2_deeper","42","6","","true","30000","gihabe290-university-of-li-ge","V2_deeper_model","7ess-Xin","8","0.8296196427812293","9","","0.8306469713973733","0.8069302846366905","0.8558","0.8392382206872211","0.35834664144143463","0.8277625","0.8274303033339178","0.3860483744621277"
"V1_baseline","0.823175","finished","-","","","2025-05-13T17:22:50.000Z","4592","","4","64","/home/gihabe/7ess-Xin/Sentiment140.csv","0.1","128","10","2","0.0005","128","model_output/V1_baseline","42","3","","true","30000","gihabe290-university-of-li-ge","V1_baseline","7ess-Xin","8","0.8271359428253248","9","","0.8271906571055107","0.8088224754533075","0.8464125","0.8390160348935419","0.3589927261926234","0.826125","0.8243487264966979","0.3923334108412266"
"V10_sequence_model","0.825975","finished","-","","","2025-05-17T20:32:19.000Z","13518","","4","48","/home/gihabe/7ess-Xin/Sentiment140.csv","0.1","128","15","2","0.0005","256","model_output/V10_sequence","42","6","","true","35000","gihabe290-university-of-li-ge","V10_sequence_model","7ess-Xin","11","0.8293183108219454","14","","0.8303808572333634","0.8098768952897001","0.85195","0.8546659025571726","0.3314061240490512","0.82675625","0.8238016234736233","0.4042634951608869"

"Name","State","Notes","User","Tags","Created","Runtime","Sweep","attn_heads","batch_size","data_path","dropout","emb_dim","epochs","ff_expansion","learning_rate","max_len","output_dir","random_seed","stack_depth","subset_size","use_wandb","vocab_size","wandb_entity","wandb_name","wandb_project","best_epoch","best_val_f1","epoch","setup_test","test_accuracy","test_f1","test_precision","test_recall","train_accuracy","train_f1","train_loss","val_accuracy","val_f1","val_loss"
"Name: V10_sequence_model","running","-","","","2025-05-21T02:55:40.000Z","12571","","4","48","/home/gihabe/7ess-Xin/Sentiment140.csv","0.1","128","15","2","0.0005","256","model_output/V10_sequence","42","6","","true","35000","gihabe290-university-of-li-ge","V10_sequence_model","7ess-Xin","7","0.8271285849197276","8","","","","","","0.84417109375","0.8432956305107676","0.3518653179173793","0.82496875","0.8247178774621177","0.3894515779331979"
"Name: V9_attention_model","finished","-","","","2025-05-21T00:48:55.000Z","17512","","16","64","/home/gihabe/7ess-Xin/Sentiment140.csv","0.1","128","15","2","0.0005","148","model_output/V9_attention","42","6","","true","35000","gihabe290-university-of-li-ge","V9_attention_model","7ess-Xin","7","0.8300053430087352","14","","0.82910625","0.8304951305242668","0.8237999778627738","0.8373","0.885609375","0.8849816262821932","0.2714524290073663","0.81681875","0.8177969526106714","0.4548376042604446"
"Name: V8_balanced_model","finished","-","","","2025-05-21T00:42:20.000Z","12111","","6","64","/home/gihabe/7ess-Xin/Sentiment140.csv","0.1","192","15","3","0.0005","148","model_output/V8_balanced","42","5","","true","35000","gihabe290-university-of-li-ge","V8_balanced_model","7ess-Xin","7","0.8291424967686746","14","","0.8298","0.830251954172017","0.82805311715117","0.8324625","0.9042","0.9038609596655706","0.232880355206877","0.8127375","0.8157295907698742","0.5276655021846295"
"Name: V7_extra_deep_model","finished","-","","","2025-05-21T00:02:03.000Z","11958","","4","64","/home/gihabe/7ess-Xin/Sentiment140.csv","0.1","128","15","2","0.0005","148","model_output/V7_extra_deep","42","8","","true","35000","gihabe290-university-of-li-ge","V7_extra_deep_model","7ess-Xin","8","0.8286857979106075","14","","0.8268125","0.8299728791095512","0.8150987056186275","0.8454","0.87529296875","0.8746106744904892","0.29313129231780766","0.8219125","0.8211860684028868","0.44474013477563856"
"Name: V6_optimized_model","finished","-","","","2025-05-20T23:57:07.000Z","10702","","4","64","/home/gihabe/7ess-Xin/Sentiment140.csv","0.1","128","15","2","0.0005","148","model_output/V6_optimized","42","6","","true","35000","gihabe290-university-of-li-ge","V6_optimized_model","7ess-Xin","7","0.8307060054093865","14","","0.8305375","0.8325324571047398","0.8228457011696335","0.84245","0.88774765625","0.8871758670700652","0.26887262150868774","0.8206375","0.8195094339622642","0.44854950095415114"
"Name: V4_tuned_model","finished","-","","","2025-05-20T22:51:36.000Z","4216","","4","128","/home/gihabe/7ess-Xin/Sentiment140.csv","0.2","128","15","2","0.0001","128","model_output/V4_tuned","42","3","","true","30000","gihabe290-university-of-li-ge","V4_tuned_model","7ess-Xin","14","0.8196436227062212","14","","0.81314375","0.8197314392180745","0.7918156720677484","0.8496875","0.81775703125","0.8162347949459468","0.39857433487325905","0.81331875","0.8196436227062212","0.4116426409602165"
"Name: V3_wider_model","finished","-","","","2025-05-20T22:49:38.000Z","6752","","8","32","/home/gihabe/7ess-Xin/Sentiment140.csv","0.1","256","10","4","0.0005","128","model_output/V3_wider","42","3","","true","30000","gihabe290-university-of-li-ge","V3_wider_model","7ess-Xin","7","0.8293829432685851","9","","0.82951875","0.8308833102900968","0.8242855912708664","0.8375875","0.87036640625","0.869836702643806","0.30528811340695244","0.82526875","0.8238340989432692","0.4078811314031482"
"Name: V2_deeper_model","finished","-","","","2025-05-20T22:49:14.000Z","7169","","4","64","/home/gihabe/7ess-Xin/Sentiment140.csv","0.1","128","10","2","0.0005","128","model_output/V2_deeper","42","6","","true","30000","gihabe290-university-of-li-ge","V2_deeper_model","7ess-Xin","8","0.8310526896078599","9","","0.82739375","0.8311413565187618","0.8134791923495829","0.8495875","0.85318046875","0.8523595648618137","0.33547538011036815","0.82864375","0.8281292118279098","0.3901654800415039"
"Name: V1_baseline","finished","-","","","2025-05-20T22:47:42.000Z","4155","","4","64","/home/gihabe/7ess-Xin/Sentiment140.csv","0.1","128","10","2","0.0005","128","model_output/V1_baseline","42","3","","true","30000","gihabe290-university-of-li-ge","V1_baseline","7ess-Xin","7","0.8303491522703847","9","","0.828825","0.8313754463735993","0.8191701043436059","0.84395","0.8565984375","0.8557108336752806","0.3287865837659687","0.8272","0.8264145257289234","0.39608905227184293"
"Name: V5_subset_model","finished","-","","","2025-05-20T22:44:57.000Z","389","","4","64","/home/gihabe/7ess-Xin/Sentiment140.csv","0.1","128","10","2","0.0005","128","model_output/V5_subset","42","3","100000","true","20000","gihabe290-university-of-li-ge","V5_subset_model","7ess-Xin","9","0.7927279797783395","9","","0.776","0.7811645173896054","0.7635599694423224","0.7996","0.83625","0.8337816576155915","0.3661483077049255","0.7868","0.7927279797783395","0.4890863877383007"